ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs
MRSH,"Marsh & McLennan Companies, Inc.",0.28,-4.62,0,0,12
ENGQF,Engie SA,-0.28,-12.51,0,0,69
ANZGY,ANZ Group Holdings Limited,0.6,-2.82,4,2,54
SHW,The Sherwin-Williams Company,-0.43,-5.28,0,0,15
APO,"Apollo Global Management, Inc.",0.94,0.41,9,5,49
VLO,Valero Energy Corporation,-0.01,-2.61,9,5,85
CL,Colgate-Palmolive Company,-1.67,5.59,34,6,37
ORLY,"O'Reilly Automotive, Inc.",-2.63,-12.6,0,0,20
B,B,2.49,8.62,30,16,78
EOG,"EOG Resources, Inc.",-0.89,-5.11,0,0,62
PSX,Phillips 66,-0.47,-1.11,23,6,76
F,Ford Motor Company,4.74,46.19,100,100,82
TRP,TC Energy Corporation,-1.49,-0.46,4,0,67
KMI,"Kinder Morgan, Inc.",-2.6,-4.57,0,0,50
AEP,"American Electric Power Company, Inc.",-0.85,-6.94,0,0,49
CTAS,Cintas Corporation,-1.04,-1.71,40,17,14
VALE,Vale S.A.,-1.81,-0.67,0,0,79
WBD,"Warner Bros. Discovery, Inc.",-0.11,-0.15,0,0,88
MSI,"Motorola Solutions, Inc.",-2.01,-8.14,14,6,23
DHLGY,Deutsche Post AG,-0.54,3.98,79,42,67
SPG,"Simon Property Group, Inc.",-0.9,0.59,6,0,59
DPSTF,Deutsche Post AG,0.0,-0.54,56,37,63
WFAFY,Wesfarmers Limited,1.31,7.93,100,88,42
HKXCY,Hong Kong Exchanges and Clearing Limited,0.49,-4.29,2,1,30
FIX,"Comfort Systems USA, Inc.",-1.45,-0.62,0,0,95
MFC,Manulife Financial Corporation,0.66,-1.9,18,3,61
MQBKY,Macquarie Group Limited,0.8,1.59,28,15,69
TEL,TE Connectivity plc,1.46,1.22,58,34,42
APD,"Air Products and Chemicals, Inc.",-1.77,-7.14,0,0,40
RSG,"Republic Services, Inc.",-1.6,-4.2,0,0,16
STMEF,STMicroelectronics N.V.,3.17,24.58,87,84,96
WPM,Wheaton Precious Metals Corp.,1.95,5.01,25,20,63
TFC,Truist Financial Corporation,0.86,-5.4,14,3,48
CRWV,"CoreWeave, Inc.",2.5,-1.85,17,11,73
D,"Dominion Energy, Inc.",0.34,4.82,63,45,59
LHX,"L3Harris Technologies, Inc.",0.13,-1.68,36,13,47
TER,"Teradyne, Inc.",-2.18,9.02,70,55,96
CRARY,Crédit Agricole S.A.,1.06,6.07,67,17,43
GWW,"W.W. Grainger, Inc.",-1.06,6.49,43,8,63
RELX,RELX PLC,-0.94,-8.63,17,8,11
MPNGY,Meituan,4.24,-9.31,15,14,9
TGT,Target Corporation,-1.23,-1.14,50,31,75
THLLY,Thales S.A.,0.4,4.7,76,56,33
O,Realty Income Corporation,-0.23,-4.19,0,0,43
RLXXF,RELX PLC,-1.95,-10.58,13,5,10
THLEF,Thales S.A.,2.09,1.67,71,46,29
SSUMF,Sumitomo Corporation,0.47,33.2,46,32,84
STRF,Strategy Inc,-1.98,-2.43,0,0,38
STRK,Strategy Inc,-3.86,-10.19,0,0,16
ANFGF,Antofagasta plc,-2.54,16.35,63,50,87
MPLX,MPLX LP,-1.51,-0.98,0,0,44
CMPGF,Compass Group PLC,6.25,13.24,69,52,38
FNCTF,Orange S.A.,0.0,2.37,5,0,66
CMPGY,Compass Group PLC,1.0,13.77,61,42,35
FKURF,Fujikura Ltd.,-2.89,-22.84,10,9,99
VWAGY,Volkswagen AG,-0.82,6.15,65,32,25
DAL,"Delta Air Lines, Inc.",-0.01,21.63,98,97,80
SCGLY,Société Générale Société anonyme,2.61,3.63,70,37,67
MET,"MetLife, Inc.",0.89,4.02,52,36,55
ALL,The Allstate Corporation,-0.57,-5.14,0,0,34
OKE,"ONEOK, Inc.",-3.54,-8.13,0,0,53
GWLIF,Great-West Lifeco Inc.,1.48,9.0,86,52,78
CTVA,"Corteva, Inc.",-2.88,-3.37,0,0,46
BAMXF,Bayerische Motoren Werke Aktiengesellschaft,0.02,-3.9,8,4,17
CBRS,Cerebras Systems Inc.,-2.31,-23.81,0,0,8
CVE,Cenovus Energy Inc.,-1.68,-5.71,0,0,87
SDVKF,Sandvik AB (publ),0.0,-2.32,29,23,77
ARGNF,argenx SE,3.96,15.24,94,54,60
ARGX,argenx SE,-0.3,6.94,69,31,60
BFFAF,BASF SE,1.62,-7.34,7,5,59
MCHP,Microchip Technology Incorporated,-1.45,2.38,17,7,85
NTDOF,"Nintendo Co., Ltd.",0.45,-9.38,9,3,3
SDVKY,Sandvik AB (publ),-0.07,-3.5,32,21,79
EA,Electronic Arts Inc.,0.28,-0.23,1,0,55
TTDKF,TDK Corporation,17.52,45.19,100,100,99
CTPCF,CITIC Limited,0.0,20.98,78,71,72
ETR,Entergy Corporation,-0.52,-7.01,0,0,62
EW,Edwards Lifesciences Corporation,0.59,3.56,81,55,42
DRPRY,Dr. Ing. h.c. F. Porsche AG,-1.45,12.92,84,69,52
CCJ,Cameco Corporation,1.87,-8.4,31,21,76
TTDKY,TDK Corporation,5.76,38.85,100,100,93
FER,Ferrovial N.V.,-0.42,-0.34,16,0,53
CRZBY,Commerzbank AG,0.56,6.77,80,31,66
AMSYF,ArcelorMittal S.A.,0.0,17.15,94,87,87
UOVEF,United Overseas Bank Limited,0.0,9.04,57,11,47
MDLN,Medline Inc.,-0.65,-17.79,4,2,14
RWNFF,RWE Aktiengesellschaft,2.23,-10.69,9,7,77
LNG,"Cheniere Energy, Inc.",-2.05,-18.03,0,0,33
LGRVF,Legrand SA,1.58,2.07,43,27,70
FANUF,Fanuc Corporation,-1.18,12.99,55,46,86
CAH,"Cardinal Health, Inc.",-1.53,2.03,48,29,44
DGEAF,Diageo plc,-4.84,2.94,17,1,15
BIDU,"Baidu, Inc.",2.47,6.94,29,26,75
GPDNF,Danone S.A.,-0.7,-9.94,0,0,12
ERIXF,Telefonaktiebolaget LM Ericsson (publ),0.0,20.46,93,88,81
FITBO,Fifth Third Bancorp,-0.75,-3.99,0,0,28
FITBI,Fifth Third Bancorp,-0.08,0.63,0,0,42
LGRDY,Legrand SA,-0.32,-2.83,0,0,58
CODYY,Compagnie de Saint-Gobain S.A.,1.24,0.66,44,23,18
GFS,GLOBALFOUNDRIES Inc.,-0.82,23.79,53,47,94
LZAGF,Lonza Group AG,0.26,3.31,71,40,26
CLS,Celestica Inc.,9.79,-5.91,38,30,92
CODGF,Compagnie de Saint-Gobain S.A.,0.0,-1.74,20,9,17
ASTS,"AST SpaceMobile, Inc.",-14.79,53.46,70,69,95
ANYYY,"Aena S.M.E., S.A.",1.49,6.14,77,46,40
CNSWY,CNSWY,0.49,12.33,97,83,15
STT,State Street Corporation,-1.25,1.83,36,4,79
HEINY,Heineken N.V.,-2.45,0.28,25,9,23
VTR,"Ventas, Inc.",-1.6,-3.92,0,0,58
WOPEF,Woodside Energy Group Ltd,7.53,-7.6,33,26,75
WDS,WDS,0.23,-8.47,0,0,74
TTWO,"Take-Two Interactive Software, Inc.",2.89,4.87,19,16,35
PPCCY,PICC Property and Casualty Company Limited,4.53,7.9,48,31,20
SWDBY,Swedbank AB (publ),0.68,4.51,76,46,73
HOCFF,HOCHTIEF Aktiengesellschaft,0.0,2.8,0,0,92
BAYZF,Bayer Aktiengesellschaft,-2.98,-6.29,0,0,57
SWDBF,Swedbank AB (publ),0.0,1.05,54,43,57
YUM,"Yum! Brands, Inc.",-1.39,-6.88,0,0,30
TEVA,Teva Pharmaceutical Industries Limited,2.32,0.71,26,16,84
RBGPF,Reckitt Benckiser Group plc,-0.02,1.5,26,9,12
CCEP,Coca-Cola Europacific Partners PLC,-1.73,-3.08,0,0,28
CCI,Crown Castle Inc.,0.45,3.06,47,21,36
SSEZF,SSE plc,-2.77,-11.14,0,0,63
TYIDF,Toyota Industries Corporation,0.0,1.59,14,8,51
